epoca,id,name,duration_ms,artists,explicit,danceability,energy,loudness,date
2010s,7qiZfU4dY1lWllzX7mPBI3,Shape of You,233713,Ed Sheeran,FALSE,0.825,0.652,-3.183,2017-03-03
2020s,7ytR5pFWmSjzHJIeQkgog4,Rockstar,181733,DaBaby,TRUE,0.746,0.69,-7.956,2020-04-17
2020s,5QDLhrAOJJdNAmCTJ8xMyW,Dynamite,199054,BTS,FALSE,0.746,0.765,-4.41,2020-11-20
2020s,4jPy3l0RUwlUI9T5XHBW2m,Mood,140533,24kGoldn,TRUE,0.701,0.716,-3.671,2021-03-26
2020s,5nujrmhLynf4yMoMtj8AQF,Levitating,203064,Dua Lipa,FALSE,0.702,0.825,-3.787,2020-03-27
2020s,27NovPIUIRrOZoCHxABJwK,INDUSTRY BABY,212000,Lil Nas X,TRUE,0.736,0.704,-7.409,2021-07-23
2020s,5wANPM4fQCJwkGd4rN57mH,drivers licence,242013,Olivia Rodrigo,TRUE,0.768,0.431,-8.81,2021-05-21
2020s,4ZtFanR9U6ndgddUvNcjcG,good 4 u,178147,Olivia Rodrigo,TRUE,0.563,0.664,-5.044,2021-05-21
2020s,4LRPiXqCikLlN15c3yImP7,As It Was,167303,Harry Styles,FALSE,0.52,0.731,-5.338,2022-03-31
2020s,3USxtqRwSYz57Ewm6wWRMp,Heat Waves,238805,Glass Animals,FALSE,0.761,0.525,-6.9,2020-08-07
2020s,5HCyWlXZPP0y6Gqq8TgA20,STAY,141806,The Kid LAROI,TRUE,0.591,0.764,-5.484,2021-07-09
